City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Zhigansk,66.7697,123.3711,-40.57,79,72,4.73,RU,1610601553
Evensk,61.95,159.2333,-28.21,74,76,2.59,RU,1610601554
Juneau,58.3019,-134.4197,3.0,87,75,3.6,US,1610601407
Mubende,0.5606,31.39,20.24,64,79,0.12,UG,1610601558
San Ignacio,17.1561,-89.0714,22.0,88,75,1.01,BZ,1610601559
Kjøllefjord,70.9457,27.3465,-1.0,86,40,9.26,NO,1610601564
Erdenet,49.0333,104.0833,-19.8,86,49,1.61,MN,1610601565
Buri,-23.7975,-48.5928,20.46,85,96,4.73,BR,1610601567
San Fernando del Valle de Catamarca,-28.4696,-65.7852,18.33,88,15,0.45,AR,1610601570
Tashtagol,52.7657,87.8894,-20.77,86,98,0.97,RU,1610601572
Woodward,36.4337,-99.3904,5.0,60,1,4.63,US,1610601572
Takoradze,4.8845,-1.7554,25.56,87,87,2.67,GH,1610601573
San Patricio,28.017,-97.5169,8.0,93,20,4.12,US,1610601574
Basco,20.4487,121.9702,21.31,75,38,8.64,PH,1610601577
Ulaangom,49.9811,92.0667,-19.11,91,100,0.73,MN,1610601578
Zapolyarnyy,69.4154,30.8136,-17.0,78,75,4.63,RU,1610601579
Guarujá,-23.9931,-46.2564,25.0,26,100,4.26,BR,1610601391
Paranhos,-23.8928,-55.4311,22.01,99,100,1.71,BR,1610601583
Morón,-34.6534,-58.6198,21.11,57,0,3.58,AR,1610601587
Valença,-13.3703,-39.0731,22.65,92,25,0.71,BR,1610601587
Buenos Aires,-34.6132,-58.3772,21.11,64,0,9.26,AR,1610601497
Prieska,-29.6641,22.7474,25.92,55,15,3.31,ZA,1610601590
Churapcha,62.0025,132.4325,-41.56,78,83,0.73,RU,1610601592
Nome,64.5011,-165.4064,-8.0,93,90,4.63,US,1610601594
Kielce,50.8703,20.6275,0.56,1,99,0.67,PL,1610601597
Mount Gambier,-37.8333,140.7667,19.0,48,75,6.69,AU,1610601604
São João da Barra,-21.6403,-41.0511,24.35,87,0,6.88,BR,1610601607
Keller,32.9346,-97.2517,9.44,66,20,4.12,US,1610601609
Roald,62.5833,6.1333,-4.0,68,0,4.12,NO,1610601611
Anori,-3.7728,-61.6442,22.91,98,79,0.61,BR,1610601611
Yar,58.249,52.1026,-24.59,89,98,4.69,RU,1610601612
Bibiani,6.4635,-2.3194,20.86,96,0,0.36,GH,1610601613
Matara,5.9485,80.5353,28.41,69,100,4.21,LK,1610601613
Verkhnevilyuysk,63.4453,120.3167,-28.53,86,98,3.03,RU,1610601616
Machiques,10.0644,-72.545,23.35,67,85,2.11,VE,1610601616
Konstantinovsk,47.5828,41.0922,-0.06,97,100,4.59,RU,1610601617
Terra Santa,-2.1042,-56.4869,23.41,95,63,0.22,BR,1610601618
Baykit,61.67,96.37,-19.12,85,100,4.72,RU,1610601619
Olinda,-8.0089,-34.8553,26.0,69,75,1.54,BR,1610601621
Paris,48.8534,2.3488,9.44,93,90,6.69,FR,1610601433
Port Hueneme,34.1478,-119.1951,14.44,58,1,2.57,US,1610601418
Altamira,-3.2033,-52.2064,22.17,97,98,1.38,BR,1610601625
Kanigiri,15.4,79.5167,26.68,62,0,3.01,IN,1610601627
Cap Malheureux,-19.9842,57.6142,28.0,74,40,5.66,MU,1610601627
Desaguadero,-16.5656,-69.0417,8.72,74,100,3.22,PE,1610601633
Chicama,-7.8447,-79.1469,21.21,81,100,2.07,PE,1610601634
Palmares do Sul,-30.2578,-50.5097,20.12,74,21,5.23,BR,1610601640
Jacqueville,5.2052,-4.4146,25.0,94,20,1.54,CI,1610601641
Kingaroy,-26.5333,151.8333,31.0,37,40,4.12,AU,1610601645
Prince Rupert,54.3161,-130.3201,5.0,75,90,4.12,CA,1610601652
La Ronge,55.1001,-105.2842,-1.0,86,100,4.12,CA,1610601653
Fort William,56.8165,-5.1121,2.22,96,100,1.11,GB,1610601655
Pevek,69.7008,170.3133,-26.73,89,100,0.52,RU,1610601661
Sinnamary,5.3833,-52.95,24.71,86,82,4.71,GF,1610601662
Haines Junction,60.7522,-137.5108,-16.0,85,45,1.03,CA,1610601664
Cabedelo,-6.9811,-34.8339,24.0,94,40,1.54,BR,1610601665
Whitecourt,54.1502,-115.6855,-3.0,63,1,6.17,CA,1610601666
Béboto,8.2668,16.939,17.15,28,0,2.13,TD,1610601667
